cbsa,metro_name,yr,qtr,index_nsa,index_sa
10420,"Akron, OH",1991,1,100.00,100.00
10420,"Akron, OH",1991,2,102.36,101.10
10420,"Akron, OH",1991,3,102.19,101.43
10420,"Akron, OH",1991,4,103.13,103.12
10420,"Akron, OH",1992,1,104.56,104.54
10420,"Akron, OH",1992,2,106.83,105.53
10420,"Akron, OH",1992,3,108.25,107.42
10420,"Akron, OH",1992,4,108.69,108.75
10420,"Akron, OH",1993,1,110.06,109.95
10420,"Akron, OH",1993,2,112.55,111.29
10420,"Akron, OH",1993,3,113.75,112.79
10420,"Akron, OH",1993,4,114.25,114.41
10420,"Akron, OH",1994,1,114.32,114.07
10420,"Akron, OH",1994,2,119.53,118.32
10420,"Akron, OH",1994,3,120.04,118.97
10420,"Akron, OH",1994,4,119.87,120.05
10420,"Akron, OH",1995,1,122.16,121.81
10420,"Akron, OH",1995,2,123.86,122.72
10420,"Akron, OH",1995,3,125.32,124.18
10420,"Akron, OH",1995,4,124.71,124.86
10420,"Akron, OH",1996,1,128.70,128.30
10420,"Akron, OH",1996,2,128.81,127.67
10420,"Akron, OH",1996,3,132.19,131.06
10420,"Akron, OH",1996,4,131.20,131.19
10420,"Akron, OH",1997,1,132.12,131.80
10420,"Akron, OH",1997,2,133.04,131.90
10420,"Akron, OH",1997,3,133.88,132.76
10420,"Akron, OH",1997,4,136.04,135.83
10420,"Akron, OH",1998,1,136.49,136.38
10420,"Akron, OH",1998,2,139.62,138.35
10420,"Akron, OH",1998,3,139.97,138.86
10420,"Akron, OH",1998,4,140.58,140.11
10420,"Akron, OH",1999,1,142.95,143.20
10420,"Akron, OH",1999,2,145.83,144.33
10420,"Akron, OH",1999,3,146.50,145.34
10420,"Akron, OH",1999,4,147.52,146.93
10420,"Akron, OH",2000,1,145.95,146.41
10420,"Akron, OH",2000,2,150.21,148.57
10420,"Akron, OH",2000,3,152.06,150.81
10420,"Akron, OH",2000,4,152.30,151.71
10420,"Akron, OH",2001,1,151.97,152.50
10420,"Akron, OH",2001,2,156.50,154.82
10420,"Akron, OH",2001,3,155.65,154.20
10420,"Akron, OH",2001,4,159.11,158.69
10420,"Akron, OH",2002,1,156.53,156.98
10420,"Akron, OH",2002,2,159.88,158.20
10420,"Akron, OH",2002,3,160.29,158.67
10420,"Akron, OH",2002,4,160.97,160.73
10420,"Akron, OH",2003,1,162.63,162.99
10420,"Akron, OH",2003,2,165.00,163.29
10420,"Akron, OH",2003,3,167.28,165.48
10420,"Akron, OH",2003,4,165.85,165.83
10420,"Akron, OH",2004,1,166.74,167.02
10420,"Akron, OH",2004,2,167.98,166.21
10420,"Akron, OH",2004,3,169.62,167.67
10420,"Akron, OH",2004,4,168.65,168.78
