state,yr,qtr,index_nsa,index_sa,Warning
AK,1991,1,100.00,100.00,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,2,100.82,100.09,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,3,102.12,101.36,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,4,102.29,102.30,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,1,102.80,102.75,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,2,104.33,103.57,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,3,105.15,104.35,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,4,104.42,104.53,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,1,104.87,104.72,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,2,107.22,106.42,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,3,108.40,107.61,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,4,110.41,110.65,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,1,111.33,111.07,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,2,112.27,111.35,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,3,112.56,111.82,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,4,111.29,111.59,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,1,114.54,114.24,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,2,116.43,115.39,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,3,117.71,116.99,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,4,117.43,117.78,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,1,120.73,120.46,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,2,121.50,120.32,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,3,120.60,119.85,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,4,123.25,123.62,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,1,122.53,122.41,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,2,125.08,123.74,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,3,125.41,124.54,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,4,125.79,126.20,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,1,126.23,126.32,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,2,129.68,128.16,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,3,130.18,129.17,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,4,130.96,131.37,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
